name	unknotting_number	three_genus	bridge_index	braid_index	signature	alexander_polynomial	jones_polynomial	homfly_polynomial	determinant	volume
Name	Unknotting Number	Genus	Bridge Index	Braid Index	Signature	Alexander	Jones	HOMFLY	Determinant	Volume
0_1	0	0	1	1	0	1	1		0	
3_1	1	1	2	2	-2	1-t+ t^2	t+ t^3-t^4	(2*v^2-v^4)+ (v^2)*z^2	3	0
4_1	1	1	2	3	0	1-3*t+ t^2	t^(-2)-t^(-1)+ 1-t+ t^2	(v^(-2)-1+ v^2)+ (-1)*z^2	5	2.029883213
5_1	2	2	2	2	-4	1-t+ t^2-t^3+ t^4	t^2+ t^4-t^5+ t^6-t^7	(3*v^4-2*v^6)+ (4*v^4-v^6)*z^2+ (v^4)*z^4	5	0
5_2	1	1	2	3	-2	2-3*t+ 2*t^2	t-t^2+ 2*t^3-t^4+ t^5-t^6	(v^2+ v^4-v^6)+ (v^2+ v^4)*z^2	7	2.828122088
6_1	1	1	2	4	0	2-5*t+ 2*t^2	t^(-2)-t^(-1)+ 2-2*t+ t^2-t^3+ t^4	(v^(-2)-v^2+ v^4)+ (-1-v^2)*z^2	9	3.163963229
6_2	1	2	2	3	-2	1-3*t+ 3*t^2-3*t^3+ t^4	t^(-1)-1+ 2*t-2*t^2+ 2*t^3-2*t^4+ t^5	(2-2*v^2+ v^4)+ (1-3*v^2+ v^4)*z^2+ (-v^2)*z^4	11	4.400832516
6_3	1	2	2	3	0	1-3*t+ 5*t^2-3*t^3+ t^4	-t^(-3)+ 2*t^(-2)-2*t^(-1)+ 3-2*t+ 2*t^2-t^3	(-v^(-2)+ 3-v^2)+ (-v^(-2)+ 3-v^2)*z^2+ (1)*z^4	13	5.693021091
7_1	3	3	2	2	-6	1-t+ t^2-t^3+ t^4-t^5+ t^6	t^3+ t^5-t^6+ t^7-t^8+ t^9-t^10	(4*v^6-3*v^8)+ (10*v^6-4*v^8)*z^2+ (6*v^6-v^8)*z^4+ (v^6)*z^6	7	0
7_2	1	1	2	4	-2	3-5*t+ 3*t^2	t-t^2+ 2*t^3-2*t^4+ 2*t^5-t^6+ t^7-t^8	(v^2+ v^6-v^8)+ (v^2+ v^4+ v^6)*z^2	11	3.331744232
7_3	2	2	2	3	-4	2-3*t+ 3*t^2-3*t^3+ 2*t^4	t^2-t^3+ 2*t^4-2*t^5+ 3*t^6-2*t^7+ t^8-t^9	(v^4+ 2*v^6-2*v^8)+ (3*v^4+ 3*v^6-v^8)*z^2+ (v^4+ v^6)*z^4	13	4.592125697
7_4	2	1	2	4	-2	4-7*t+ 4*t^2	t-2*t^2+ 3*t^3-2*t^4+ 3*t^5-2*t^6+ t^7-t^8	(2*v^4-v^8)+ (v^2+ 2*v^4+ v^6)*z^2	15	5.137941202
7_5	2	2	2	3	-4	2-4*t+ 5*t^2-4*t^3+ 2*t^4	t^2-t^3+ 3*t^4-3*t^5+ 3*t^6-3*t^7+ 2*t^8-t^9	(2*v^4-v^8)+ (3*v^4+ 2*v^6-v^8)*z^2+ (v^4+ v^6)*z^4	17	6.443537381
7_6	1	2	2	4	-2	1-5*t+ 7*t^2-5*t^3+ t^4	t^(-1)-2+ 3*t-3*t^2+ 4*t^3-3*t^4+ 2*t^5-t^6	(1-v^2+ 2*v^4-v^6)+ (1-2*v^2+ 2*v^4)*z^2+ (-v^2)*z^4	19	7.084925954
7_7	1	2	2	4	0	1-5*t+ 9*t^2-5*t^3+ t^4	t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 4-3*t+ 3*t^2-t^3	(v^(-4)-2*v^(-2)+ 2)+ (-2*v^(-2)+ 2-v^2)*z^2+ (1)*z^4	21	7.643375172
8_1	1	1	2	5	0	3-7*t+ 3*t^2	t^(-2)-t^(-1)+ 2-2*t+ 2*t^2-2*t^3+ t^4-t^5+ t^6	(v^(-2)-v^4+ v^6)+ (-1-v^2-v^4)*z^2	13	3.427205246
8_2	2	3	2	3	-4	1-3*t+ 3*t^2-3*t^3+ 3*t^4-3*t^5+ t^6	1-t+ 2*t^2-2*t^3+ 3*t^4-3*t^5+ 2*t^6-2*t^7+ t^8	(3*v^2-3*v^4+ v^6)+ (4*v^2-7*v^4+ 3*v^6)*z^2+ (v^2-5*v^4+ v^6)*z^4+ (-v^4)*z^6	17	4.935242678
8_3	2	1	2	5	0	4-9*t+ 4*t^2	t^(-4)-t^(-3)+ 2*t^(-2)-3*t^(-1)+ 3-3*t+ 2*t^2-t^3+ t^4	(v^(-4)-1+ v^4)+ (-v^(-2)-2-v^2)*z^2	17	5.238684101
8_4	2	2	2	4	2	2-5*t+ 5*t^2-5*t^3+ 2*t^4	 t^(-5)-2*t^(-4)+ 3*t^(-3)-3*t^(-2)+ 3*t^(-1)-3+ 2*t^1-t^2+ t^3	(v^(-4)-2+ 2*v^2)+ (v^(-4)-2*v^(-2)-3+ v^2)*z^2+ (-v^(-2)-1)*z^4	19	5.500486416
8_5	2	3	3	3	-4	1-3*t+ 4*t^2-5*t^3+ 4*t^4-3*t^5+ t^6	1-t+ 3*t^2-3*t^3+ 3*t^4-4*t^5+ 3*t^6-2*t^7+ t^8	(4*v^2-5*v^4+ 2*v^6)+ (4*v^2-8*v^4+ 3*v^6)*z^2+ (v^2-5*v^4+ v^6)*z^4+ (-v^4)*z^6	21	6.997189148
8_6	2	2	2	4	-2	2-6*t+ 7*t^2-6*t^3+ 2*t^4	t^(-1)-1+ 3*t-4*t^2+ 4*t^3-4*t^4+ 3*t^5-2*t^6+ t^7	(2-v^2-v^4+ v^6)+ (1-2*v^2-2*v^4+ v^6)*z^2+ (-v^2-v^4)*z^4	23	7.47523743
8_7	1	3	2	3	2	1-3*t+ 5*t^2-5*t^3+ 5*t^4-3*t^5+ t^6	-t^(-6)+ 2*t^(-5)-3*t^(-4)+ 4*t^(-3)-4*t^(-2)+ 4*t^(-1)-2+ 2*t-t^2	(-2*v^(-4)+ 4*v^(-2)-1)+ (-3*v^(-4)+ 8*v^(-2)-3)*z^2+ (-v^(-4)+ 5*v^(-2)-1)*z^4+ (v^(-2))*z^6	23	7.022196589
8_8	2	2	2	4	0	2-6*t+ 9*t^2-6*t^3+ 2*t^4	-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 4*t^(-2)-4*t^(-1)+ 5-3*t+ 2*t^2-t^3	(-v^(-4)+ v^(-2)+ 2-v^2)+ (-v^(-4)+ 2*v^(-2)+ 2-v^2)*z^2+ (v^(-2)+ 1)*z^4	25	7.801341224
8_9	1	3	2	3	0	1-3*t+ 5*t^2-7*t^3+ 5*t^4-3*t^5+ t^6	t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 5-4*t+ 3*t^2-2*t^3+ t^4	(2*v^(-2)-3+ 2*v^2)+ (3*v^(-2)-8+ 3*v^2)*z^2+ (v^(-2)-5+ v^2)*z^4+ (-1)*z^6	25	7.588180224
8_10	2	3	3	3	2	1-3*t+ 6*t^2-7*t^3+ 6*t^4-3*t^5+ t^6	-t^(-6)+ 2*t^(-5)-4*t^(-4)+ 5*t^(-3)-4*t^(-2)+ 5*t^(-1)-3+ 2*t-t^2	(-3*v^(-4)+ 6*v^(-2)-2)+ (-3*v^(-4)+ 9*v^(-2)-3)*z^2+ (-v^(-4)+ 5*v^(-2)-1)*z^4+ (v^(-2))*z^6	27	8.651148558
8_11	1	2	2	4	-2	2-7*t+ 9*t^2-7*t^3+ 2*t^4	t^(-1)-2+ 4*t-4*t^2+ 5*t^3-5*t^4+ 3*t^5-2*t^6+ t^7	(1+ v^2-2*v^4+ v^6)+ (1-v^2-2*v^4+ v^6)*z^2+ (-v^2-v^4)*z^4	27	8.286316818
8_12	2	2	2	5	0	1-7*t+ 13*t^2-7*t^3+ t^4	t^(-4)-2*t^(-3)+ 4*t^(-2)-5*t^(-1)+ 5-5*t+ 4*t^2-2*t^3+ t^4	(v^(-4)-v^(-2)+ 1-v^2+ v^4)+ (-2*v^(-2)+ 1-2*v^2)*z^2+ (1)*z^4	29	8.935856928
8_13	1	2	2	4	0	2-7*t+ 11*t^2-7*t^3+ 2*t^4	-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 5*t^(-2)-5*t^(-1)+ 5-4*t+ 3*t^2-t^3	(-v^(-4)+ 2*v^(-2))+ (-v^(-4)+ 2*v^(-2)+ 1-v^2)*z^2+ (v^(-2)+ 1)*z^4	29	8.531232202
8_14	1	2	2	4	-2	2-8*t+ 11*t^2-8*t^3+ 2*t^4	t^(-1)-2+ 4*t-5*t^2+ 6*t^3-5*t^4+ 4*t^5-3*t^6+ t^7	(1)+ (1-v^2-v^4+ v^6)*z^2+ (-v^2-v^4)*z^4	31	9.217800316
8_15	2	2	3	4	-4	3-8*t+ 11*t^2-8*t^3+ 3*t^4	t^2-2*t^3+ 5*t^4-5*t^5+ 6*t^6-6*t^7+ 4*t^8-3*t^9+ t^10	(v^4+ 3*v^6-4*v^8+ v^10)+ (2*v^4+ 5*v^6-3*v^8)*z^2+ (v^4+ 2*v^6)*z^4	33	9.930648294
8_16	2	3	3	3	2	1-4*t+ 8*t^2-9*t^3+ 8*t^4-4*t^5+ t^6	-t^(-6)+ 3*t^(-5)-5*t^(-4)+ 6*t^(-3)-6*t^(-2)+ 6*t^(-1)-4+ 3*t-t^2	(-v^(-4)+ 2*v^(-2))+ (-2*v^(-4)+ 5*v^(-2)-2)*z^2+ (-v^(-4)+ 4*v^(-2)-1)*z^4+ (v^(-2))*z^6	35	10.57902192
8_17	1	3	3	3	0	1-4*t+ 8*t^2-11*t^3+ 8*t^4-4*t^5+ t^6	t^(-4)-3*t^(-3)+ 5*t^(-2)-6*t^(-1)+ 7-6*t+ 5*t^2-3*t^3+ t^4	(v^(-2)-1+ v^2)+ (2*v^(-2)-5+ 2*v^2)*z^2+ (v^(-2)-4+ v^2)*z^4+ (-1)*z^6	37	10.98590761
8_18	2	3	3	3	0	1-5*t+ 10*t^2-13*t^3+ 10*t^4-5*t^5+ t^6	t^(-4)-4*t^(-3)+ 6*t^(-2)-7*t^(-1)+ 9-7*t+ 6*t^2-4*t^3+ t^4	(-v^(-2)+ 3-v^2)+ (v^(-2)-1+ v^2)*z^2+ (v^(-2)-3+ v^2)*z^4+ (-1)*z^6	45	12.35090621
8_19	3	3	3	3	-6	1-t+ t^3-t^5+ t^6	t^3+ t^5-t^8	(5*v^6-5*v^8+ v^10)+ (10*v^6-5*v^8)*z^2+ (6*v^6-v^8)*z^4+ (v^6)*z^6	3	0
8_20	1	2	3	3	0	1-2*t+ 3*t^2-2*t^3+ t^4	-t^(-5)+ t^(-4)-t^(-3)+ 2*t^(-2)-t^(-1)+ 2-t	(-2*v^(-4)+ 4*v^(-2)-1)+ (-v^(-4)+ 4*v^(-2)-1)*z^2+ (v^(-2))*z^4	9	4.124903252
8_21	1	2	3	3	-2	1-4*t+ 5*t^2-4*t^3+ t^4	2*t-2*t^2+ 3*t^3-3*t^4+ 2*t^5-2*t^6+ t^7	(3*v^2-3*v^4+ v^6)+ (2*v^2-3*v^4+ v^6)*z^2+ (-v^4)*z^4	15	6.78371352
9_1	4	4	2	2	-8	1-t+ t^2-t^3+ t^4-t^5+ t^6-t^7+ t^8	t^4+ t^6-t^7+ t^8-t^9+ t^10-t^11+ t^12-t^13	(5*v^8-4*v^10)+ (20*v^8-10*v^10)*z^2+ (21*v^8-6*v^10)*z^4+ (8*v^8-v^10)*z^6+ (v^8)*z^8	9	0
9_2	1	1	2	5	-2	4-7*t+ 4*t^2	t-t^2+ 2*t^3-2*t^4+ 2*t^5-2*t^6+ 2*t^7-t^8+ t^9-t^10	(v^2+ v^8-v^10)+ (v^2+ v^4+ v^6+ v^8)*z^2	15	3.486660146
9_3	3	3	2	3	-6	2-3*t+ 3*t^2-3*t^3+ 3*t^4-3*t^5+ 2*t^6	t^3-t^4+ 2*t^5-2*t^6+ 3*t^7-3*t^8+ 3*t^9-2*t^10+ t^11-t^12	(v^6+ 3*v^8-3*v^10)+ (6*v^6+ 7*v^8-4*v^10)*z^2+ (5*v^6+ 5*v^8-v^10)*z^4+ (v^6+ v^8)*z^6	19	4.994856404
9_4	2	2	2	4	-4	3-5*t+ 5*t^2-5*t^3+ 3*t^4	t^2-t^3+ 2*t^4-3*t^5+ 4*t^6-3*t^7+ 3*t^8-2*t^9+ t^10-t^11	(-2*v^10+ 2*v^8+ v^4)- (v^10-3*v^8-2*v^6-3*v^4)*z^2+ (v^8+ v^6+ v^4)*z^4	21	5.556518816
9_5	2	1	2	5	-2	6-11*t+ 6*t^2	t-2*t^2+ 3*t^3-3*t^4+ 4*t^5-3*t^6+ 3*t^7-2*t^8+ t^9-t^10	(v^4+ v^6-v^10)+ (v^2+ 2*v^4+ 2*v^6+ v^8)*z^2	23	5.698441751
9_6	3	3	2	3	-6	2-4*t+ 5*t^2-5*t^3+ 5*t^4-4*t^5+ 2*t^6	t^3-t^4+ 3*t^5-3*t^6+ 4*t^7-5*t^8+ 4*t^9-3*t^10+ 2*t^11-t^12	(3*v^6-v^8-v^10)+ (7*v^6+ 3*v^8-3*v^10)*z^2+ (5*v^6+ 4*v^8-v^10)*z^4+ (v^6+ v^8)*z^6	27	7.203600762
9_7	2	2	2	4	-4	3-7*t+ 9*t^2-7*t^3+ 3*t^4	t^2-t^3+ 3*t^4-4*t^5+ 5*t^6-5*t^7+ 4*t^8-3*t^9+ 2*t^10-t^11	(2*v^4-v^6+ v^8-v^10)+ (3*v^4+ v^6+ 2*v^8-v^10)*z^2+ (v^4+ v^6+ v^8)*z^4	29	8.014861458
9_8	2	2	2	5	-2	2-8*t+ 11*t^2-8*t^3+ 2*t^4	t^(-3)-2*t^(-2)+ 3*t^(-1)-4+ 5*t-5*t^2+ 5*t^3-3*t^4+ 2*t^5-t^6	(v^(-2)-1+ 2*v^4-v^6)+ (v^(-2)-2-v^2+ 2*v^4)*z^2+ (-1-v^2)*z^4	31	8.192347962
9_9	3	3	2	3	-6	2-4*t+ 6*t^2-7*t^3+ 6*t^4-4*t^5+ 2*t^6	t^3-t^4+ 3*t^5-4*t^6+ 5*t^7-5*t^8+ 5*t^9-4*t^10+ 2*t^11-t^12	(2*v^6+ v^8-2*v^10)+ (7*v^6+ 4*v^8-3*v^10)*z^2+ (5*v^6+ 4*v^8-v^10)*z^4+ (v^6+ v^8)*z^6	31	8.016815566
9_10	3	2	2	4	-4	4-8*t+ 9*t^2-8*t^3+ 4*t^4	t^2-2*t^3+ 4*t^4-5*t^5+ 6*t^6-5*t^7+ 5*t^8-3*t^9+ t^10-t^11	(2*v^6+ v^8-2*v^10)+ (2*v^4+ 5*v^6+ 2*v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4	33	8.773457282
9_11	2	3	2	4	4	1-5*t+ 7*t^2-7*t^3+ 7*t^4-5*t^5+ t^6	-t^(-9)+ 2*t^(-8)-4*t^(-7)+ 5*t^(-6)-5*t^(-5)+ 6*t^(-4)-4*t^(-3)+ 3*t^(-2)-2*t^(-1)+ 1	(-2*v^(-8)+ 3*v^(-6)-v^(-4)+ v^(-2))+ (-v^(-8)+ 6*v^(-6)-4*v^(-4)+ 3*v^(-2))*z^2+ (2*v^(-6)-4*v^(-4)+ v^(-2))*z^4+ (-v^(-4))*z^6	33	8.288589043
9_12	1	2	2	5	-2	2-9*t+ 13*t^2-9*t^3+ 2*t^4	t^(-1)-2+ 4*t-5*t^2+ 6*t^3-6*t^4+ 5*t^5-3*t^6+ 2*t^7-t^8	(1-v^4+ 2*v^6-v^8)+ (1-v^2-v^4+ 2*v^6)*z^2+ (-v^2-v^4)*z^4	35	8.836642344
9_13	3	2	2	4	-4	4-9*t+ 11*t^2-9*t^3+ 4*t^4	t^2-2*t^3+ 4*t^4-5*t^5+ 7*t^6-6*t^7+ 5*t^8-4*t^9+ 2*t^10-t^11	(3*v^6-v^8-v^10)+ (2*v^4+ 5*v^6+ v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4	37	9.135094038
9_14	1	2	2	5	0	2-9*t+ 15*t^2-9*t^3+ 2*t^4	t^(-6)-2*t^(-5)+ 3*t^(-4)-5*t^(-3)+ 6*t^(-2)-6*t^(-1)+ 6-4*t+ 3*t^2-t^3	(v^(-6)-2*v^(-4)+ v^(-2)+ 1)+ (-2*v^(-4)+ v^(-2)+ 1-v^2)*z^2+ (v^(-2)+ 1)*z^4	37	8.954989262
9_15	2	2	2	5	2	2-10*t+ 15*t^2-10*t^3+ 2*t^4	-t^(-8)+ 2*t^(-7)-4*t^(-6)+ 6*t^(-5)-6*t^(-4)+ 7*t^(-3)-6*t^(-2)+ 4*t^(-1)-2+ t	(-v^(-8)+ v^(-6)+ v^(-4)-v^(-2)+ 1)+ (2*v^(-6)-v^(-2)+ 1)*z^2+ (-v^(-4)-v^(-2))*z^4	39	9.88549866
9_16	3	3	3	3	-6	2-5*t+ 8*t^2-9*t^3+ 8*t^4-5*t^5+ 2*t^6	t^3-t^4+ 4*t^5-5*t^6+ 6*t^7-7*t^8+ 6*t^9-5*t^10+ 3*t^11-t^12	(4*v^6-3*v^8)+ (8*v^6-2*v^10)*z^2+ (5*v^6+ 3*v^8-v^10)*z^4+ (v^6+ v^8)*z^6	39	9.88300696
9_17	2	3	2	4	-2	1-5*t+ 9*t^2-9*t^3+ 9*t^4-5*t^5+ t^6	t^(-3)-2*t^(-2)+ 4*t^(-1)-5+ 6*t-7*t^2+ 6*t^3-4*t^4+ 3*t^5-t^6	(2*v^(-2)-3+ 2*v^2)+ (v^(-2)-6+ 5*v^2-2*v^4)*z^2+ (-2+ 4*v^2-v^4)*z^4+ (v^2)*z^6	39	9.474580454
9_18	2	2	2	4	-4	4-10*t+ 13*t^2-10*t^3+ 4*t^4	t^2-2*t^3+ 5*t^4-6*t^5+ 7*t^6-7*t^7+ 6*t^8-4*t^9+ 2*t^10-t^11	(v^4+ v^6-v^10)+ (2*v^4+ 4*v^6+ v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4	41	10.05772964
9_19	1	2	2	5	0	2-10*t+ 17*t^2-10*t^3+ 2*t^4	t^(-4)-2*t^(-3)+ 4*t^(-2)-6*t^(-1)+ 7-7*t+ 6*t^2-4*t^3+ 3*t^4-t^5	(v^(-4)-v^(-2)+ v^2)+ (-2*v^(-2)+ v^2-v^4)*z^2+ (1+ v^2)*z^4	41	10.03254745
9_20	2	3	2	4	-4	1-5*t+ 9*t^2-11*t^3+ 9*t^4-5*t^5+ t^6	1-2*t+ 4*t^2-5*t^3+ 7*t^4-7*t^5+ 6*t^6-5*t^7+ 3*t^8-t^9	(2*v^2-2*v^4+ 2*v^6-v^8)+ (3*v^2-5*v^4+ 5*v^6-v^8)*z^2+ (v^2-4*v^4+ 2*v^6)*z^4+ (-v^4)*z^6	41	9.644304074
9_21	1	2	2	5	2	2-11*t+ 17*t^2-11*t^3+ 2*t^4	-t^(-8)+ 2*t^(-7)-4*t^(-6)+ 6*t^(-5)-7*t^(-4)+ 8*t^(-3)-6*t^(-2)+ 5*t^(-1)-3+ t	(-v^(-8)+ v^(-6)+ v^(-2))+ (2*v^(-6)+ 1)*z^2+ (-v^(-4)-v^(-2))*z^4	43	10.18326554
9_22	1	3	3	4	-2	1-5*t+ 10*t^2-11*t^3+ 10*t^4-5*t^5+ t^6	t^(-3)-2*t^(-2)+ 4*t^(-1)-6+ 7*t-7*t^2+ 7*t^3-5*t^4+ 3*t^5-t^6	(2*v^(-2)-4+ 4*v^2-v^4)+ (v^(-2)-6+ 6*v^2-2*v^4)*z^2+ (-2+ 4*v^2-v^4)*z^4+ (v^2)*z^6	43	10.62072702
9_23	2	2	2	4	-4	4-11*t+ 15*t^2-11*t^3+ 4*t^4	t^2-2*t^3+ 5*t^4-6*t^5+ 8*t^6-8*t^7+ 6*t^8-5*t^9+ 3*t^10-t^11	(v^4+ 2*v^6-2*v^8)+ (2*v^4+ 4*v^6-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4	45	10.61134829
9_24	1	3	3	4	0	1-5*t+ 10*t^2-13*t^3+ 10*t^4-5*t^5+ t^6	t^(-4)-3*t^(-3)+ 5*t^(-2)-7*t^(-1)+ 8-7*t+ 7*t^2-4*t^3+ 2*t^4-t^5	(v^(-2)-3+ 5*v^2-2*v^4)+ (2*v^(-2)-6+ 6*v^2-v^4)*z^2+ (v^(-2)-4+ 2*v^2)*z^4+ (-1)*z^6	45	10.83372911
9_25	2	2	3	5	-2	3-12*t+ 17*t^2-12*t^3+ 3*t^4	t^(-1)-2+ 5*t-7*t^2+ 8*t^3-8*t^4+ 7*t^5-5*t^6+ 3*t^7-t^8	(1+ v^2-3*v^4+ 3*v^6-v^8)+ (1-4*v^4+ 3*v^6)*z^2+ (-v^2-2*v^4)*z^4	47	11.39030515
9_26	1	3	2	4	2	1-5*t+ 11*t^2-13*t^3+ 11*t^4-5*t^5+ t^6	t^(-7)-3*t^(-6)+ 5*t^(-5)-7*t^(-4)+ 8*t^(-3)-8*t^(-2)+ 7*t^(-1)-4+ 3*t-t^2	(v^(-6)-3*v^(-4)+ 3*v^(-2))+ (v^(-6)-5*v^(-4)+ 6*v^(-2)-2)*z^2+ (-2*v^(-4)+ 4*v^(-2)-1)*z^4+ (v^(-2))*z^6	47	10.59584052
9_27	1	3	2	4	0	1-5*t+ 11*t^2-15*t^3+ 11*t^4-5*t^5+ t^6	t^(-4)-3*t^(-3)+ 5*t^(-2)-7*t^(-1)+ 9-8*t+ 7*t^2-5*t^3+ 3*t^4-t^5	(v^(-2)-2+ 3*v^2-v^4)+ (2*v^(-2)-6+ 5*v^2-v^4)*z^2+ (v^(-2)-4+ 2*v^2)*z^4+ (-1)*z^6	49	10.99998096
9_28	1	3	3	4	-2	1-5*t+ 12*t^2-15*t^3+ 12*t^4-5*t^5+ t^6	-t^(-2)+ 3*t^(-1)-5+ 8*t-8*t^2+ 9*t^3-8*t^4+ 5*t^5-3*t^6+ t^7	(-1+ 5*v^2-4*v^4+ v^6)+ (-2+ 7*v^2-5*v^4+ v^6)*z^2+ (-1+ 4*v^2-2*v^4)*z^4+ (v^2)*z^6	51	11.56317702
9_29	2	3	3	4	2	1-5*t+ 12*t^2-15*t^3+ 12*t^4-5*t^5+ t^6	-t^(-6)+ 3*t^(-5)-6*t^(-4)+ 8*t^(-3)-8*t^(-2)+ 9*t^(-1)-7+ 5*t-3*t^2+ t^3	(-2*v^(-4)+ 5*v^(-2)-3+ v^2)+ (-2*v^(-4)+ 7*v^(-2)-5+ v^2)*z^2+ (-v^(-4)+ 4*v^(-2)-2)*z^4+ (v^(-2))*z^6	51	12.20585617
9_30	1	3	3	4	0	1-5*t+ 12*t^2-17*t^3+ 12*t^4-5*t^5+ t^6	-t^(-5)+ 3*t^(-4)-5*t^(-3)+ 8*t^(-2)-9*t^(-1)+ 9-8*t+ 6*t^2-3*t^3+ t^4	(-v^(-4)+ 4*v^(-2)-4+ 2*v^2)+ (-v^(-4)+ 5*v^(-2)-7+ 2*v^2)*z^2+ (2*v^(-2)-4+ v^2)*z^4+ (-1)*z^6	53	11.95452697
9_31	2	3	2	4	-2	1-5*t+ 13*t^2-17*t^3+ 13*t^4-5*t^5+ t^6	-t^(-2)+ 3*t^(-1)-5+ 8*t-9*t^2+ 10*t^3-8*t^4+ 6*t^5-4*t^6+ t^7	(-1+ 4*v^2-2*v^4)+ (-2+ 7*v^2-4*v^4+ v^6)*z^2+ (-1+ 4*v^2-2*v^4)*z^4+ (v^2)*z^6	55	11.68631221
9_32	2	3	3	4	2	1-6*t+ 14*t^2-17*t^3+ 14*t^4-6*t^5+ t^6	t^(-7)-3*t^(-6)+ 6*t^(-5)-9*t^(-4)+ 10*t^(-3)-10*t^(-2)+ 9*t^(-1)-6+ 4*t-t^2	(v^(-6)-2*v^(-4)+ v^(-2)+ 1)+ (v^(-6)-4*v^(-4)+ 3*v^(-2)-1)*z^2+ (-2*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-2))*z^6	59	13.09989985
9_33	1	3	3	4	0	1-6*t+ 14*t^2-19*t^3+ 14*t^4-6*t^5+ t^6	-t^(-5)+ 3*t^(-4)-6*t^(-3)+ 9*t^(-2)-10*t^(-1)+ 11-9*t+ 7*t^2-4*t^3+ t^4	(-v^(-4)+ 2*v^(-2))+ (-v^(-4)+ 4*v^(-2)-3+ v^2)*z^2+ (2*v^(-2)-3+ v^2)*z^4+ (-1)*z^6	61	13.28045564
9_34	1	3	3	4	0	1-6*t+ 16*t^2-23*t^3+ 16*t^4-6*t^5+ t^6	-t^(-5)+ 4*t^(-4)-7*t^(-3)+ 10*t^(-2)-12*t^(-1)+ 12-10*t^1+ 8*t^2-4*t^3+ t^4	(v^(-2)-1+ v^2)+ (-v^(-4)+ 3*v^(-2)-4+ v^2)*z^2+ (v^(2)-3+ 2*v^(-2))*z^4+ (-1)*z^6	69	14.34458139
9_35	3	1	3	5	-2	7-13*t+ 7*t^2	t-2*t^2+ 3*t^3-4*t^4+ 5*t^5-3*t^6+ 4*t^7-3*t^8+ t^9-t^10	(3*v^6-v^8-v^10)+ (v^2+ 2*v^4+ 3*v^6+ v^8)*z^2	27	7.940579248
9_36	2	3	3	4	4	1-5*t+ 8*t^2-9*t^3+ 8*t^4-5*t^5+ t^6	-t^(-9)+ 2*t^(-8)-4*t^(-7)+ 6*t^(-6)-6*t^(-5)+ 6*t^(-4)-5*t^(-3)+ 4*t^(-2)-2*t^(-1)+ 1	(-2*v^(-8)+ 4*v^(-6)-3*v^(-4)+ 2*v^(-2))+ (-v^(-8)+ 6*v^(-6)-5*v^(-4)+ 3*v^(-2))*z^2+ (2*v^(-6)-4*v^(-4)+ v^(-2))*z^4+ (-v^(-4))*z^6	37	9.884578653
9_37	2	2	3	5	0	2-11*t+ 19*t^2-11*t^3+ 2*t^4	t^(-4)-2*t^(-3)+ 5*t^(-2)-7*t^(-1)+ 7-8*t+ 7*t^2-4*t^3+ 3*t^4-t^5	(v^(-4)-2+ 2*v^2)+ (-2*v^(-2)-1+ v^2-v^4)*z^2+ (1+ v^2)*z^4	45	10.98944959
9_38	3	2	3	4	-4	5-14*t+ 19*t^2-14*t^3+ 5*t^4	t^2-3*t^3+ 7*t^4-8*t^5+ 10*t^6-10*t^7+ 8*t^8-6*t^9+ 3*t^10-t^11	(4*v^6-3*v^8)+ (v^4+ 7*v^6-v^8-v^10)*z^2+ (v^4+ 3*v^6+ v^8)*z^4	57	12.9328587
9_39	1	2	3	5	2	3-14*t+ 21*t^2-14*t^3+ 3*t^4	-t^(-8)+ 3*t^(-7)-6*t^(-6)+ 8*t^(-5)-9*t^(-4)+ 10*t^(-3)-8*t^(-2)+ 6*t^(-1)-3+ t	(-v^(-8)+ 2*v^(-6)-2*v^(-4)+ 2*v^(-2))+ (3*v^(-6)-3*v^(-4)+ v^(-2)+ 1)*z^2+ (-2*v^(-4)-v^(-2))*z^4	55	12.81031
9_40	2	3	3	4	-2	1-7*t+ 18*t^2-23*t^3+ 18*t^4-7*t^5+ t^6	-t^(-2)+ 5*t^(-1)-8+ 11*t-13*t^2+ 13*t^3-11*t^4+ 8*t^5-4*t^6+ t^7	(2-2*v^2+ v^4)+ (-2*v^4+ v^6)*z^2+ (-1+ 2*v^2-2*v^4)*z^4+ (v^2)*z^6	75	15.01834286
9_41	2	2	3	5	0	3-12*t+ 19*t^2-12*t^3+ 3*t^4	t^(-6)-3*t^(-5)+ 5*t^(-4)-7*t^(-3)+ 8*t^(-2)-8*t^(-1)+ 8-5*t+ 3*t^2-t^3	(v^(-6)-3*v^(-4)+ 3*v^(-2))+ (-3*v^(-4)+ 4*v^(-2)-v^2)*z^2+ (2*v^(-2)+ 1)*z^4	49	12.09893603
