name	unknotting_number	three_genus	bridge_index	braid_index	signature	alexander_polynomial	jones_polynomial	homfly_polynomial	determinant	volume
Name	Unknotting Number	Genus	Bridge Index	Braid Index	Signature	Alexander	Jones	HOMFLY	Determinant	Volume
12n_767	1	4	3	3	2	1-4*t+ 9*t^2-15*t^3+ 17*t^4-15*t^5+ 9*t^6-4*t^7+ t^8	t^(-9)-3*t^(-8)+ 6*t^(-7)-9*t^(-6)+ 11*t^(-5)-13*t^(-4)+ 12*t^(-3)-9*t^(-2)+ 7*t^(-1)-3+ t	(2*v^(-6)-5*v^(-4)+ 4*v^(-2))+ (5*v^(-6)-12*v^(-4)+ 6*v^(-2))*z^2+ (4*v^(-6)-13*v^(-4)+ 4*v^(-2))*z^4+ (v^(-6)-6*v^(-4)+ v^(-2))*z^6+ (-v^(-4))*z^8	75	14.292807
12n_768	[1, 2]	3	3	4	0	1-3*t+ 5*t^2-7*t^3+ 5*t^4-3*t^5+ t^6	t^(-8)-2*t^(-7)+ 3*t^(-6)-4*t^(-5)+ 4*t^(-4)-4*t^(-3)+ 3*t^(-2)-2*t^(-1)+ 2	(2*v^(-6)-4*v^(-4)+ 2*v^(-2)+ 1)+ (3*v^(-6)-8*v^(-4)+ 3*v^(-2))*z^2+ (v^(-6)-5*v^(-4)+ v^(-2))*z^4+ (-v^(-4))*z^6	25	11.00200875
12n_769	[2, 3]	3	3	4	2	2-8*t+ 20*t^2-27*t^3+ 20*t^4-8*t^5+ 2*t^6	-t^(-10)+ 3*t^(-9)-7*t^(-8)+ 10*t^(-7)-13*t^(-6)+ 15*t^(-5)-13*t^(-4)+ 12*t^(-3)-8*t^(-2)+ 4*t^(-1)-1	(-2*v^(-8)+ v^(-6)+ 3*v^(-4)-v^(-2))+ (-2*v^(-8)+ 4*v^(-6)+ 5*v^(-4)-v^(-2))*z^2+ (-v^(-8)+ 3*v^(-6)+ 3*v^(-4)-v^(-2))*z^4+ (v^(-6)+ v^(-4))*z^6	87	15.95487356
12n_770	2	3	3	4	-4	3-16*t+ 35*t^2-45*t^3+ 35*t^4-16*t^5+ 3*t^6	3*t^2-8*t^3+ 16*t^4-21*t^5+ 25*t^6-26*t^7+ 22*t^8-17*t^9+ 10*t^10-4*t^11+ t^12	(3*v^4-v^6-2*v^8+ v^10)+ (6*v^4-4*v^6-v^8+ v^10)*z^2+ (3*v^4-5*v^6-v^8+ v^10)*z^4+ (-2*v^6-v^8)*z^6	153	18.88723307
12n_771	1	3	3	4	2	2-10*t+ 24*t^2-31*t^3+ 24*t^4-10*t^5+ 2*t^6	-t^(-10)+ 4*t^(-9)-8*t^(-8)+ 12*t^(-7)-16*t^(-6)+ 17*t^(-5)-16*t^(-4)+ 14*t^(-3)-9*t^(-2)+ 5*t^(-1)-1	(-v^(-6)+ v^(-4)+ v^(-2))+ (-v^(-8)+ v^(-6)+ 2*v^(-4))*z^2+ (-v^(-8)+ 2*v^(-6)+ 2*v^(-4)-v^(-2))*z^4+ (v^(-6)+ v^(-4))*z^6	103	16.77602843
12n_772	[1, 2]	3	3	4	-2	3-13*t+ 29*t^2-37*t^3+ 29*t^4-13*t^5+ 3*t^6	-2*t^(-2)+ 6*t^(-1)-11+ 17*t-20*t^2+ 22*t^3-19*t^4+ 15*t^5-10*t^6+ 4*t^7-t^8	(-2+ 5*v^2-v^4-v^6)+ (-4+ 10*v^2-v^4-v^6)*z^2+ (-2+ 7*v^2+ v^4-v^6)*z^4+ (2*v^2+ v^4)*z^6	127	17.47719269
12n_773	2	3	3	4	4	3-11*t+ 19*t^2-23*t^3+ 19*t^4-11*t^5+ 3*t^6	t^(-10)-3*t^(-9)+ 7*t^(-8)-11*t^(-7)+ 13*t^(-6)-15*t^(-5)+ 14*t^(-4)-11*t^(-3)+ 8*t^(-2)-4*t^(-1)+ 2	(v^(-8)-4*v^(-4)+ 4*v^(-2))+ (2*v^(-8)-10*v^(-4)+ 6*v^(-2))*z^2+ (v^(-8)-2*v^(-6)-8*v^(-4)+ 2*v^(-2))*z^4+ (-v^(-6)-2*v^(-4))*z^6	89	14.68517293
12n_774	[1, 2]	2	3	5	2	4-13*t+ 17*t^2-13*t^3+ 4*t^4	t^(-9)-2*t^(-8)+ 4*t^(-7)-6*t^(-6)+ 7*t^(-5)-9*t^(-4)+ 8*t^(-3)-6*t^(-2)+ 5*t^(-1)-2+ t	(v^(-8)-3*v^(-4)+ 2*v^(-2)+ 1)+ (v^(-8)-v^(-6)-4*v^(-4)+ 1)*z^2+ (-v^(-6)-2*v^(-4)-v^(-2))*z^4	51	12.29006297
12n_775	[1, 2]	4	3	5	-2	1-6*t+ 17*t^2-27*t^3+ 29*t^4-27*t^5+ 17*t^6-6*t^7+ t^8	-t^(-4)+ 5*t^(-3)-10*t^(-2)+ 16*t^(-1)-20+ 22*t-21*t^2+ 17*t^3-12*t^4+ 6*t^5-t^6	(v^(-2)+ 1-3*v^2+ 2*v^4)+ (-v^(-2)+ 4-10*v^2+ 5*v^4-v^6)*z^2+ (-v^(-2)+ 6-10*v^2+ 4*v^4)*z^4+ (2-5*v^2+ v^4)*z^6+ (-v^2)*z^8	131	18.84625178
12n_776	[1, 2]	4	3	5	-2	1-6*t+ 15*t^2-21*t^3+ 21*t^4-21*t^5+ 15*t^6-6*t^7+ t^8	-t^(-4)+ 4*t^(-3)-8*t^(-2)+ 13*t^(-1)-16+ 18*t-17*t^2+ 14*t^3-10*t^4+ 5*t^5-t^6	(2-2*v^2+ v^4)+ (-2*v^(-2)+ 6-8*v^2+ 4*v^4-v^6)*z^2+ (-v^(-2)+ 7-9*v^2+ 4*v^4)*z^4+ (2-5*v^2+ v^4)*z^6+ (-v^2)*z^8	107	17.53473203
